brand,name,old_price_reais,new_price_reais,reviews_rating_number,reviews_amount
ACER,"Notebook Acer Aspire 15 73wh Intel Ci7 13620H 13ªGen GB RAM 512GB SSD Fhd 15.6"" 64-Bits (Debian)",4.299,3.599,4.6,(56)
LENOVO,Notebook Lenovo Thinkpad T14 I7 10210u 32gb 512m2,3.450,345,,
,Notebook Vaio Fe 16 Amd® Ryzen 7-5825u Windows 11 Home 16gb 512gb Ssd Tela 16 Ips Wuxga Antireflexo - Cinza Grafite - Vjfe69f11x-b0111h,5.999,4.499,5.0,(1)
DELL,"Notebook Inspiron I16-U7155H-A10 16"" prateado 16GB de Ram - 1TB SSD - Intel Core Ultra 7",10.219,1.021,5.0,(4)
,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8gb 256gb Emmc, Tela 15 Polegadas Hd Antirreflexo, Linux, Tecla Link, Cinza",1.647,158,4.7,(178)
ASUS,"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 8gb Ram 1tb Ssd Linux Keepos Tela 15,6 Fhd Black - Nj1289",5.299,2.702,4.8,(54)
,"Notebook VAIO FE15 AMD Ryzen 7 32GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Linux Cor Cinza Grafite VJFE59F11X-B1011H",5.099,3.849,4.8,(487)
,"Notebook Ultra, Linux, 15,6 Pol. HD, Intel Celeron, 240GB SSD/ 8GB RAM, Cinza Escovado - UB262",1.699,1.439,4.6,(80)
LENOVO,Notebook Lenovo Ideapad 1i Celeron Office 365 4gb 128gb W11,2.799,1.934,5.0,(1)
ACER,Notebook Acer Nitro 7837 Ci7 13ªg 8gb 512ssd Rtx3050 Linux,7.999,5.499,5.0,(2)
ASUS,Notebook Asus Tuf Gaming Rtx3050 Core I5 16gb 512ssd W11,6.300,630,4.9,(177)
ASUS,Notebook Gamer Rog Strix G16 Core I9 16gb 512ssd W11 Rtx 4060 Cor Cinza Asus,11.167,1.116,4.8,(39)
,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,2.531,1.259,4.6,(213)
HP,Notebook Hp 256r G9 Intel Core I3-1315u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - AN1A2LA#AK4,3.137,2.659,4.9,(59)
HP,Notebook Hp 256r G9 Intel Core I5-1335u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl- Ay6z4la#ak4,3.803,3.134,4.8,(78)
ASUS,Notebook Gamer Rog Strix G16 Core I9 16gb 512ssd W11 Rtx 4060 Cor Cinza Asus,11.167,1.116,4.8,(39)
LENOVO,Notebook Lenovo Thinkpad E431 Core I5 16gb Ssd 240gb,1.789,1.699,,
DELL,Notebook Dell 15.6 Fhd I5 8gb 512gb Ssd Rtx 3050,5.793,579,4.7,(33)
,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,2.531,1.259,4.6,(213)
DELL,Notebook Core I5 256gb 16gb Ddr4 Ssd M2 Usb-c Usb 3.0 5490 ,2.990,2.242,3.3,(8)
ASUS,"Notebook ASUS VivoBook Go 15 AMD Ryzen 5 7520U 8GB 512GB SSD KeepOS Tela 15,6"" FHD Mixed Black - E1504FA-NJ732",3.099,309,4.8,(904)
LENOVO,Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,9.510,5.199,4.9,(36)
HP,Notebook Hp 256r G9 Intel Core I5-1335u 15.6 Hd Intel® Iris Xe Graphics 256gb Ssd 16gb Ram Windows 11 Home Pls Sl- Ay6z5la#ak4,3.803,3.324,4.9,(71)
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 8GB RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' HD - 82VY000QBR",4.080,3.059,4.8,(3857)
LENOVO,"Notebook Lenovo Yoga Slim 7i Intel Core Ultra 5 125H 16gb RAM 512gb SSD Windows 11 Home Tela 14"" 83GM0003BR",5.442,544,5.0,(6)
,Notebook Vaio Fe 16 Amd Ryzen 7 - 5700u Linux 32gb 512gb Ssd Tela 16 Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11xb0911h,4.759,3.949,4.9,(14)
,"Notebook Positivo Vision i15 Lumina Bar i3-N300, 8GB 512GB SSD, Tela 15 polegadas Full HD Antirreflexo Linux - Cinza",2.699,2.564,4.6,(296)
,Macbook Pro A2141 I7 2019 Ssd 500gb 16gb Radeon 5300m 16 ,9.999,5.199,5.0,(2)
